r_tower_killed,d_tower_killed,r_barracks_killed,d_barracks_killed,r_roshan_killed,d_roshan_killed,r_first_blood,d_first_blood,r_had_aegis,d_had_aegis,r_tower_denied,d_tower_denied,obj_len,r_obj,d_obj
5,5,2,0,1,0,True,False,1,0,1,0,16,11,5
2,1,0,0,0,0,False,True,0,0,0,1,5,2,3
0,1,0,0,0,0,True,False,0,0,0,0,2,1,1
2,4,0,0,0,0,False,True,0,0,0,1,8,2,6
3,1,0,0,0,0,True,False,0,0,1,0,6,5,1
2,3,0,0,0,0,True,False,0,0,0,1,7,3,4
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
7,7,4,3,1,0,True,False,1,0,0,1,25,14,11
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
6,1,0,0,1,0,True,False,1,0,0,0,10,9,1
1,4,0,0,0,0,False,True,0,0,0,0,6,1,5
2,7,0,0,1,0,True,False,1,0,0,0,12,5,7
1,2,0,0,0,0,True,False,0,0,0,0,4,2,2
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,4,0,0,0,0,False,True,0,0,0,1,6,0,6
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
4,5,0,0,1,1,True,False,1,1,0,1,15,7,8
4,5,0,0,0,1,False,True,0,1,1,0,13,5,8
5,4,0,0,0,0,False,True,0,0,0,0,10,5,5
2,0,0,0,0,0,False,True,0,0,1,0,4,3,1
7,9,4,2,0,2,False,True,0,2,0,0,27,11,16
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
1,0,0,0,0,0,True,False,0,0,0,0,2,2,0
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
2,3,0,0,0,0,False,True,0,0,0,0,6,2,4
3,0,0,0,0,0,True,False,0,0,0,1,5,4,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
7,2,0,2,1,0,False,True,1,0,0,0,14,9,5
1,6,0,0,0,0,False,True,0,0,0,0,8,1,7
6,4,0,0,0,0,True,False,0,0,1,0,12,8,4
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
7,2,0,2,2,0,False,True,2,0,1,1,18,12,6
1,3,0,0,0,0,True,False,0,0,1,1,7,3,4
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
1,1,0,0,0,0,True,False,0,0,1,0,4,3,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
1,1,0,0,0,0,False,True,0,0,0,0,3,1,2
7,1,0,2,0,0,False,True,0,0,0,0,11,7,4
2,2,0,0,0,0,True,False,0,0,0,0,5,3,2
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
6,2,0,2,1,0,True,False,1,0,0,0,13,9,4
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
8,4,0,4,2,2,True,False,2,2,1,0,26,14,12
4,0,0,0,0,0,True,False,0,0,0,0,5,5,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
5,6,0,0,1,0,True,False,1,0,0,0,14,8,6
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
2,1,0,0,0,0,False,True,0,0,0,0,4,2,2
1,4,0,0,0,0,False,True,0,0,0,0,6,1,5
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
7,3,0,2,1,0,True,False,1,0,0,0,15,10,5
2,1,0,0,0,0,False,True,0,0,0,0,4,2,2
0,1,0,0,0,0,True,False,0,0,0,1,3,1,2
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
8,0,0,1,0,0,True,False,0,0,0,0,10,9,1
2,1,0,0,0,0,True,False,0,0,0,0,4,3,1
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
5,3,0,0,1,0,True,False,1,0,0,0,11,8,3
6,1,0,0,0,0,True,False,0,0,0,0,8,7,1
2,2,0,0,1,0,False,True,1,0,0,0,7,4,3
3,0,0,0,0,0,True,False,0,0,0,0,4,4,0
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
3,2,0,0,0,0,True,False,0,0,0,0,6,4,2
1,0,0,0,0,0,True,False,0,0,0,0,2,2,0
2,2,0,0,0,0,False,False,0,0,1,0,5,3,2
2,0,0,0,0,0,False,True,0,0,0,0,3,2,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
6,3,0,4,0,0,True,False,0,0,0,2,16,7,9
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
3,7,2,0,0,3,False,True,0,3,0,0,19,5,14
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
1,2,0,0,0,0,True,False,0,0,0,0,4,2,2
0,8,3,0,0,1,True,False,0,1,0,0,14,4,10
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
4,6,0,0,0,0,False,True,0,0,0,1,12,4,8
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
1,1,0,0,0,0,False,True,0,0,0,0,3,1,2
0,2,0,0,0,0,True,False,0,0,0,1,4,1,3
1,0,0,0,0,0,True,False,0,0,1,0,3,3,0
1,0,0,0,0,0,True,False,0,0,0,0,2,2,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
4,2,0,0,0,0,True,False,0,0,0,1,8,5,3
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,1,0,0,0,0,True,False,0,0,0,0,2,1,1
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
5,1,0,2,1,0,True,False,1,0,0,0,11,8,3
5,4,0,0,0,0,True,False,0,0,0,0,10,6,4
5,7,2,0,0,1,False,True,0,1,0,0,17,7,10
7,0,0,1,0,0,True,False,0,0,0,0,9,8,1
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
4,1,0,0,1,0,False,True,1,0,0,1,9,6,3
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
8,2,0,0,1,0,True,False,1,0,1,0,14,12,2
0,2,0,0,0,0,True,False,0,0,0,1,4,1,3
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
7,2,0,3,0,0,False,True,0,0,0,0,13,7,6
3,6,0,0,0,0,False,True,0,0,0,0,10,3,7
5,2,0,0,0,0,True,False,0,0,0,0,8,6,2
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
3,5,0,0,0,0,True,False,0,0,0,0,9,4,5
6,3,0,0,1,0,True,False,1,0,0,0,12,9,3
4,1,0,0,0,0,False,True,0,0,0,0,6,4,2
2,1,0,0,0,0,False,True,0,0,0,0,4,2,2
1,6,0,0,1,0,True,False,1,0,0,0,10,4,6
3,0,0,0,0,0,False,True,0,0,0,0,4,3,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
7,5,0,0,2,0,True,False,2,0,1,0,18,13,5
2,6,0,0,0,1,False,True,0,1,0,0,11,2,9
3,0,0,0,0,0,False,True,0,0,0,0,4,3,1
0,1,0,0,0,0,False,True,0,0,0,0,2,0,2
2,6,2,0,0,2,False,True,0,2,0,0,15,4,11
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
3,2,0,0,0,1,True,False,0,1,1,0,9,5,4
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
8,2,0,3,0,0,True,False,0,0,1,0,15,10,5
7,4,0,1,1,0,True,False,1,0,0,0,15,10,5
1,1,0,0,0,0,False,True,0,0,0,0,3,1,2
0,1,0,0,0,0,False,False,0,0,0,0,1,0,1
3,1,0,0,0,0,False,True,0,0,0,0,5,3,2
2,1,0,0,0,0,False,True,0,0,0,0,4,2,2
5,8,4,0,0,1,False,True,0,1,0,0,20,9,11
4,8,1,0,0,2,False,True,0,2,0,1,19,5,14
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
4,7,2,0,0,2,False,True,0,2,1,1,20,7,13
1,0,0,0,0,0,True,False,0,0,0,0,2,2,0
3,0,0,0,1,0,False,True,1,0,1,1,8,6,2
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
5,7,2,0,2,0,False,True,2,0,1,1,21,12,9
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
7,1,0,2,0,0,True,False,0,0,0,0,11,8,3
3,3,0,0,0,0,False,True,0,0,0,2,9,3,6
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
1,7,3,0,0,1,True,False,0,1,1,2,17,6,11
7,7,0,2,0,1,True,False,0,1,0,0,19,8,11
0,6,0,0,0,0,False,True,0,0,1,0,8,1,7
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,2,0,0,0,0,False,True,0,0,0,0,3,0,3
6,3,0,0,0,0,False,True,0,0,0,0,10,6,4
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
2,3,0,0,0,0,True,False,0,0,0,0,6,3,3
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
2,7,4,0,1,1,True,False,1,1,0,1,19,9,10
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
5,6,0,0,0,0,True,False,0,0,1,0,13,7,6
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
6,4,0,0,2,0,True,False,2,0,0,0,15,11,4
2,2,0,0,0,0,True,False,0,0,0,1,6,3,3
0,1,0,0,0,0,False,True,0,0,0,0,2,0,2
5,3,0,0,0,0,False,True,0,0,0,0,9,5,4
6,5,0,0,1,0,False,True,1,0,0,0,14,8,6
3,5,0,0,1,1,False,True,1,1,0,0,13,5,8
2,2,0,0,0,0,True,False,0,0,0,0,5,3,2
4,1,0,0,0,0,True,False,0,0,0,2,8,5,3
1,1,0,0,0,0,False,True,0,0,0,0,3,1,2
0,3,0,0,0,0,False,True,0,0,0,0,4,0,4
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
8,0,0,4,2,0,True,False,2,0,1,1,19,14,5
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
4,3,0,0,0,1,False,True,0,1,0,1,11,4,7
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
4,0,0,0,0,0,False,True,0,0,0,1,6,4,2
4,11,6,0,0,0,True,False,0,0,0,0,22,11,11
0,4,0,0,0,0,False,True,0,0,0,0,5,0,5
1,5,2,0,0,0,False,True,0,0,0,0,9,3,6
8,4,0,2,0,0,True,False,0,0,0,0,15,9,6
4,4,0,0,0,0,True,False,0,0,0,0,9,5,4
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
1,6,0,0,0,0,False,True,0,0,0,1,9,1,8
1,0,0,0,0,0,True,False,0,0,0,0,2,2,0
1,1,0,0,0,0,False,False,0,0,1,0,3,2,1
1,4,0,0,0,0,False,False,0,0,1,0,6,2,4
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,2,0,0,0,0,True,False,0,0,1,0,4,2,2
7,4,0,2,1,0,True,False,1,0,1,0,17,11,6
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
1,3,0,0,0,0,False,True,0,0,0,0,5,1,4
8,4,0,3,1,0,True,False,1,0,0,0,18,11,7
8,3,0,4,0,0,False,True,0,0,1,0,17,9,8
0,2,0,0,0,0,False,True,0,0,0,0,3,0,3
2,1,0,0,0,0,True,False,0,0,0,0,4,3,1
8,6,2,1,1,1,False,True,1,1,0,0,22,12,10
5,4,0,0,0,0,False,True,0,0,0,0,10,5,5
1,8,2,0,0,0,False,True,0,0,0,0,12,3,9
7,1,0,1,0,0,False,True,0,0,0,0,10,7,3
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
8,6,0,2,1,0,False,True,1,0,0,0,19,10,9
6,4,0,2,0,0,False,True,0,0,0,0,13,6,7
1,0,0,0,0,0,True,False,0,0,0,0,2,2,0
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
2,6,0,0,0,1,True,False,0,1,0,0,11,3,8
1,0,0,0,0,0,False,True,0,0,0,0,2,1,1
4,3,0,0,0,0,True,False,0,0,0,0,8,5,3
4,4,0,0,1,0,True,False,1,0,0,0,11,7,4
3,2,0,0,0,1,True,False,0,1,0,0,8,4,4
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
4,7,1,0,0,2,True,False,0,2,2,2,21,8,13
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,4,0,0,0,0,True,False,0,0,0,0,5,1,4
2,1,0,0,0,0,True,False,0,0,0,0,4,3,1
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
4,5,0,0,0,0,True,False,0,0,1,0,11,6,5
4,0,0,0,0,0,True,False,0,0,0,0,5,5,0
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
0,1,0,0,0,0,False,True,0,0,0,0,2,0,2
7,6,2,0,2,0,True,False,2,0,0,0,20,14,6
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
7,3,0,1,0,1,True,False,0,1,0,0,14,8,6
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
1,4,0,0,0,0,False,True,0,0,0,0,6,1,5
1,7,2,0,0,0,False,True,0,0,1,0,12,4,8
3,0,0,0,0,0,False,True,0,0,0,0,4,3,1
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,2,0,0,0,0,False,True,0,0,0,0,3,0,3
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
6,6,0,0,0,0,True,False,0,0,0,0,13,7,6
8,6,0,4,1,0,True,False,1,0,0,0,21,11,10
4,5,4,0,1,0,False,False,1,0,2,0,17,12,5
0,5,0,0,0,0,False,True,0,0,0,0,6,0,6
1,8,1,0,0,0,False,True,0,0,0,0,11,2,9
3,2,0,0,0,0,False,True,0,0,0,0,6,3,3
7,0,0,0,0,0,True,False,0,0,0,0,8,8,0
4,0,0,0,0,0,True,False,0,0,0,1,6,5,1
1,1,0,0,0,0,False,True,0,0,0,0,3,1,2
2,2,0,0,0,0,False,True,0,0,0,0,5,2,3
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
3,1,0,0,0,0,False,True,0,0,0,0,5,3,2
3,5,0,0,0,0,True,False,0,0,0,0,9,4,5
2,1,0,0,0,0,False,False,0,0,1,1,5,3,2
2,0,0,0,0,0,False,True,0,0,1,0,4,3,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,2,0,0,0,0,True,False,0,0,0,1,4,1,3
2,2,0,0,0,0,False,True,0,0,1,0,6,3,3
3,0,0,0,0,0,False,True,0,0,1,1,6,4,2
7,8,2,2,1,0,True,False,1,0,0,0,22,12,10
6,6,2,4,2,0,False,True,2,0,0,2,25,12,13
7,7,4,4,1,2,False,True,1,2,0,1,30,13,17
10,0,0,5,0,0,True,False,0,0,0,0,16,11,5
2,4,0,0,0,0,False,True,0,0,1,0,8,3,5
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
8,2,0,2,0,0,True,False,0,0,1,0,14,10,4
8,3,0,4,0,0,True,False,0,0,0,0,16,9,7
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
2,0,0,0,0,0,False,True,0,0,0,0,3,2,1
6,6,0,2,1,0,True,False,1,0,0,1,18,9,9
3,7,0,0,1,0,True,False,1,0,0,2,15,6,9
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
3,1,0,0,0,0,False,True,0,0,0,0,5,3,2
5,0,0,0,0,0,False,True,0,0,0,0,6,5,1
2,9,6,0,0,1,False,True,0,1,0,0,20,8,12
2,0,0,0,0,0,False,True,0,0,0,1,4,2,2
6,5,0,0,0,1,False,True,0,1,0,0,14,6,8
2,0,0,0,0,0,True,False,0,0,0,0,3,3,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
3,7,0,0,0,2,True,False,0,2,0,1,16,4,12
0,2,0,0,0,0,False,True,0,0,0,0,3,0,3
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
2,2,0,0,0,0,False,True,0,0,0,0,5,2,3
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
1,0,0,0,0,0,True,False,0,0,0,1,3,2,1
5,2,0,0,0,0,False,True,0,0,1,0,9,6,3
0,0,0,0,0,0,False,False,0,0,0,1,1,0,1
1,0,0,0,0,0,True,False,0,0,0,0,2,2,0
4,0,0,0,1,0,False,True,1,0,0,1,8,6,2
8,3,0,0,0,0,False,True,0,0,1,0,13,9,4
6,4,0,0,0,0,False,True,0,0,0,0,11,6,5
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
4,6,0,0,0,1,False,True,0,1,0,0,13,4,9
2,2,0,0,0,0,False,False,0,0,0,1,5,2,3
6,1,0,0,1,0,True,False,1,0,1,1,12,10,2
5,3,0,2,0,0,False,False,0,0,2,0,12,7,5
2,6,2,0,0,0,False,True,0,0,1,0,12,5,7
1,3,0,0,0,0,False,True,0,0,0,0,5,1,4
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
2,0,0,0,0,0,True,False,0,0,0,0,3,3,0
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
6,3,0,0,0,0,True,False,0,0,0,0,10,7,3
2,8,2,0,0,1,False,True,0,1,0,0,15,4,11
1,0,0,0,0,0,False,True,0,0,0,0,2,1,1
2,2,0,0,0,0,False,True,0,0,0,1,6,2,4
8,5,2,2,2,0,True,False,2,0,2,0,24,17,7
1,5,0,0,0,0,True,False,0,0,1,0,8,3,5
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
5,0,0,0,0,0,True,False,0,0,1,0,7,7,0
3,0,0,0,0,0,False,True,0,0,0,0,4,3,1
6,6,0,0,1,1,True,False,1,1,0,0,17,9,8
9,4,0,6,1,0,True,False,1,0,0,0,22,12,10
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
3,2,0,0,0,0,False,True,0,0,1,0,7,4,3
0,5,0,0,0,0,True,False,0,0,0,0,6,1,5
5,7,2,0,0,2,True,False,0,1,0,1,19,8,11
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
0,4,2,0,0,1,True,False,0,1,2,0,11,5,6
5,4,0,0,0,1,False,True,0,1,0,0,12,5,7
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
9,0,0,6,1,0,True,False,1,0,0,0,18,12,6
1,0,0,0,0,0,False,True,0,0,0,0,2,1,1
1,0,0,0,0,0,True,False,0,0,0,0,2,2,0
1,0,0,0,0,0,True,False,0,0,0,0,2,2,0
9,0,0,4,1,0,False,True,1,0,0,0,16,11,5
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
2,3,0,0,0,0,True,False,0,0,0,0,6,3,3
2,3,0,0,0,0,True,False,0,0,0,0,6,3,3
7,2,0,0,0,0,False,True,0,0,0,0,10,7,3
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
1,0,0,0,0,0,False,True,0,0,0,0,2,1,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
0,1,0,0,0,0,False,True,0,0,0,0,2,0,2
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
6,0,0,0,0,0,True,False,0,0,0,0,7,7,0
2,6,2,0,0,0,False,True,0,0,0,1,12,4,8
6,4,0,0,0,0,False,True,0,0,0,0,11,6,5
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
2,0,0,0,0,0,True,False,0,0,0,1,4,3,1
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,8,4,0,0,0,False,True,0,0,0,0,13,4,9
2,6,2,0,0,1,False,True,0,1,1,1,15,5,10
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
8,7,2,2,1,0,False,True,1,0,0,0,22,12,10
1,2,0,0,0,0,False,True,0,0,1,0,5,2,3
1,1,0,0,0,0,True,False,0,0,0,1,4,2,2
0,2,0,0,0,0,False,True,0,0,1,0,4,1,3
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
1,9,2,0,0,0,True,False,0,0,0,0,13,4,9
7,1,0,0,1,0,False,True,1,0,0,0,11,9,2
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
6,3,0,0,1,0,False,True,1,0,0,0,12,8,4
1,6,0,0,0,0,True,False,0,0,0,0,8,2,6
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
7,6,0,2,2,0,True,False,2,0,0,0,20,12,8
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
3,4,0,0,0,1,True,False,0,1,0,0,10,4,6
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
6,3,0,0,0,1,False,True,0,0,0,0,11,6,5
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
7,3,0,0,0,0,False,True,0,0,0,0,11,7,4
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
4,0,0,0,0,0,True,False,0,0,1,1,7,6,1
4,0,0,0,0,0,True,False,0,0,0,0,5,5,0
6,3,0,0,0,0,False,True,0,0,0,0,10,6,4
3,2,0,0,0,0,True,False,0,0,0,0,6,4,2
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
1,0,0,0,0,0,False,True,0,0,0,0,2,1,1
0,2,0,0,0,0,False,True,0,0,0,0,3,0,3
3,1,0,0,0,0,True,False,0,0,0,0,5,4,1
1,5,0,0,0,0,False,True,0,0,0,0,7,1,6
4,0,0,0,0,0,True,False,0,0,0,0,5,5,0
4,0,0,0,0,0,False,True,0,0,0,0,5,4,1
2,0,0,0,0,0,False,True,0,0,0,1,4,2,2
1,7,0,0,0,0,True,False,0,0,0,1,10,2,8
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
7,2,0,2,0,0,False,True,0,0,0,0,12,7,5
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
2,6,0,0,2,0,True,False,2,0,1,2,16,8,8
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
2,5,0,0,0,0,False,True,0,0,0,0,8,2,6
