chat_len,r_chat_msg,d_chat_msg,r1_chat_msg,r2_chat_msg,r3_chat_msg,r4_chat_msg,r5_chat_msg,d1_chat_msg,d2_chat_msg,d3_chat_msg,d4_chat_msg,d5_chat_msg
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,0,1,3,0,4,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,0,0,9,2,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0
4,1,3,0,0,0,1,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,7,0,2,0,0,1,1,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
45,26,19,13,0,1,11,1,0,0,18,1,0
7,3,4,0,2,1,0,0,0,4,0,0,0
4,4,0,0,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,2,0,3,0,0,2,0,1,0,0,1
3,2,1,1,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
13,6,7,1,1,3,0,1,2,0,0,5,0
5,5,0,0,0,2,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,0,0,0,0,0,0,0,0,2
6,3,3,0,2,0,0,1,0,0,2,0,1
4,3,1,3,0,0,0,0,0,0,0,1,0
3,3,0,3,0,0,0,0,0,0,0,0,0
6,4,2,0,0,4,0,0,0,0,0,0,2
1,1,0,0,0,0,0,1,0,0,0,0,0
16,10,6,0,0,0,10,0,0,3,2,0,1
2,2,0,0,1,0,0,1,0,0,0,0,0
12,5,7,3,2,0,0,0,4,2,0,0,1
3,3,0,0,0,3,0,0,0,0,0,0,0
3,1,2,0,0,0,0,1,1,0,0,0,1
11,4,7,0,2,0,0,2,0,7,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
20,10,10,0,0,0,0,10,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0
20,9,11,3,0,3,1,2,0,1,0,1,9
19,17,2,17,0,0,0,0,0,0,2,0,0
1,1,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0
3,2,1,1,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,1,0,0,0,0,0,1,1,0,0
2,0,2,0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
12,7,5,0,4,3,0,0,0,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0,0,0
12,4,8,0,0,0,1,3,0,0,0,3,5
0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,3,1,0,3,0,0,2,0,1,0,0
8,2,6,0,0,0,2,0,0,6,0,0,0
11,5,6,0,1,0,0,4,1,5,0,0,0
5,3,2,1,0,0,2,0,1,0,0,1,0
24,6,18,2,1,0,2,1,0,6,0,8,4
7,3,4,0,0,2,0,1,3,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,11,0,0,0,0,0,0,0,4,6,1
1,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
27,11,16,1,6,0,0,4,0,5,0,4,7
1,1,0,0,1,0,0,0,0,0,0,0,0
16,11,5,0,1,0,8,2,1,1,0,1,2
9,5,4,2,1,2,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,4,0,0,1,2,1,3,0,0,1,0
18,6,12,0,0,1,1,4,1,9,2,0,0
3,2,1,2,0,0,0,0,0,0,1,0,0
25,8,17,0,7,0,0,1,5,0,6,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,4,1,3,0,0,0,0,2,2,0,0
2,0,2,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,4,0,2,4,0,0,3,0,1,0,0
7,6,1,2,0,0,0,4,1,0,0,0,0
9,9,0,0,4,0,5,0,0,0,0,0,0
9,6,3,0,0,6,0,0,3,0,0,0,0
39,6,33,5,1,0,0,0,28,0,3,2,0
12,8,4,0,5,2,1,0,0,1,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
59,22,37,0,7,4,11,0,8,13,2,1,13
2,2,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1,2,0,0,0,0,0,0,0,0,1
14,9,5,1,1,4,3,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,0,0,0,0,0,3,0,0,0,1
3,1,2,0,0,1,0,0,1,0,0,1,0
1,0,1,0,0,0,0,0,0,0,0,1,0
10,1,9,0,1,0,0,0,2,2,0,5,0
2,2,0,0,0,1,1,0,0,0,0,0,0
12,10,2,10,0,0,0,0,1,0,0,0,1
77,54,23,31,1,3,9,10,6,5,5,7,0
20,16,4,0,6,0,2,8,4,0,0,0,0
2,2,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,2,2,1,2,0,0,0,1,1,0,0
2,1,1,0,0,0,0,1,0,1,0,0,0
92,11,81,0,0,0,10,1,74,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
12,11,1,7,4,0,0,0,0,1,0,0,0
29,12,17,0,11,0,0,1,3,7,2,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0
25,14,11,3,0,11,0,0,0,0,10,0,1
3,0,3,0,0,0,0,0,2,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
18,14,4,1,0,1,11,1,0,0,0,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,0,0,0,0,1,0,0,1,0
7,5,2,0,1,0,0,4,0,0,2,0,0
4,0,4,0,0,0,0,0,0,0,1,3,0
2,2,0,0,0,2,0,0,0,0,0,0,0
18,6,12,0,0,2,4,0,3,8,1,0,0
16,16,0,0,1,1,13,1,0,0,0,0,0
6,0,6,0,0,0,0,0,1,0,4,1,0
2,1,1,0,0,0,1,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0
5,1,4,0,0,0,1,0,0,0,4,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0
3,3,0,2,0,1,0,0,0,0,0,0,0
10,5,5,3,1,1,0,0,1,2,0,0,2
4,2,2,0,1,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
17,12,5,0,0,0,6,6,3,0,0,1,1
4,1,3,0,0,0,0,1,3,0,0,0,0
2,0,2,0,0,0,0,0,0,1,1,0,0
4,0,4,0,0,0,0,0,0,0,1,2,1
24,19,5,8,0,4,6,1,0,0,5,0,0
4,4,0,0,3,1,0,0,0,0,0,0,0
2,0,2,0,0,0,0,0,0,2,0,0,0
3,1,2,0,0,0,1,0,1,1,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,3,0,0,0,0,0,0,1,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,3,0,0,1,0,0,2,0,0,0,1
5,0,5,0,0,0,0,0,0,5,0,0,0
6,6,0,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,1,1,0,0,0,0,0,0
45,34,11,0,0,31,3,0,9,0,1,1,0
2,2,0,2,0,0,0,0,0,0,0,0,0
3,3,0,0,1,0,2,0,0,0,0,0,0
57,23,34,0,9,0,0,14,1,6,24,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,0,0,0,0,0,2,0,3,0
3,3,0,1,1,1,0,0,0,0,0,0,0
25,16,9,9,2,5,0,0,0,0,8,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,4,1,0,0,0,0,2,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,0,0,0,0,1,0,1,1,0,0
7,1,6,0,0,0,0,1,0,0,1,0,5
8,7,1,6,1,0,0,0,1,0,0,0,0
2,2,0,0,2,0,0,0,0,0,0,0,0
122,111,11,14,2,9,73,13,8,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0
6,3,3,0,0,0,1,2,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1,0,0,0,0,2,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,9,0,0,2,0,0,3,5,0,0,1
6,3,3,1,0,0,1,1,0,2,0,1,0
6,3,3,1,0,1,0,1,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0
25,14,11,0,9,4,1,0,4,1,0,6,0
11,0,11,0,0,0,0,0,1,1,7,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,0,0,1,0,0,0,0,0,2,0
1,1,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0,0
5,3,2,0,2,0,1,0,0,2,0,0,0
10,3,7,0,0,0,0,3,0,0,7,0,0
31,12,19,1,4,1,0,6,0,14,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,3,0,0,0,1,0,0,0,1,2,0
3,2,1,0,0,0,1,1,1,0,0,0,0
5,0,5,0,0,0,0,0,0,1,3,1,0
1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,2,0,0,0,0,0
8,7,1,0,0,5,2,0,0,1,0,0,0
4,1,3,0,0,0,0,1,0,0,0,3,0
10,3,7,0,3,0,0,0,5,0,0,0,2
33,22,11,0,0,9,4,9,0,9,2,0,0
4,2,2,0,0,0,2,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0
8,2,6,0,0,0,0,2,6,0,0,0,0
2,2,0,0,0,2,0,0,0,0,0,0,0
22,4,18,1,0,0,1,2,14,0,0,1,3
32,19,13,2,1,3,7,6,7,5,0,0,1
14,10,4,0,8,0,2,0,0,0,1,0,3
60,50,10,24,10,1,15,0,0,0,8,2,0
2,2,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,10,0,2,3,0,0,0,0,3,0,7
1,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,5,1,1,4,0,0,0,0,5,0,0
5,2,3,0,1,0,1,0,1,2,0,0,0
2,0,2,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,8,0,0,0,0,0,0,0,0,0,8
8,5,3,0,5,0,0,0,0,1,1,0,1
7,7,0,0,0,2,1,4,0,0,0,0,0
6,3,3,0,0,0,2,1,3,0,0,0,0
4,3,1,0,1,1,0,1,0,0,1,0,0
6,1,5,0,0,0,1,0,0,2,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,0,0,0,1,0,0,0,0,2,0
2,2,0,0,0,0,2,0,0,0,0,0,0
26,17,9,0,0,0,13,4,2,1,4,0,2
1,0,1,0,0,0,0,0,0,1,0,0,0
5,0,5,0,0,0,0,0,0,0,5,0,0
12,3,9,0,0,1,0,2,0,0,1,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0
6,4,2,3,0,0,1,0,1,1,0,0,0
10,4,6,0,0,0,4,0,0,5,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0
27,21,6,0,0,6,0,15,1,0,0,0,5
1,1,0,0,1,0,0,0,0,0,0,0,0
8,1,7,0,1,0,0,0,1,3,0,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0
12,7,5,1,1,0,5,0,0,1,1,0,3
13,12,1,2,0,0,6,4,1,0,0,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0
32,26,6,5,9,2,10,0,2,2,2,0,0
4,1,3,0,0,0,1,0,2,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0
42,15,27,0,0,0,0,15,7,0,0,12,8
4,4,0,2,0,0,0,2,0,0,0,0,0
9,4,5,0,4,0,0,0,3,0,2,0,0
2,0,2,0,0,0,0,0,2,0,0,0,0
86,24,62,0,11,4,0,9,26,23,8,1,4
1,1,0,0,0,1,0,0,0,0,0,0,0
8,3,5,0,1,1,1,0,1,3,1,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
30,5,25,0,1,0,4,0,13,0,10,2,0
29,6,23,0,6,0,0,0,3,0,0,0,20
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0,0,0
84,61,23,36,5,0,0,20,22,0,0,0,1
17,5,12,0,4,0,1,0,1,1,4,2,4
0,0,0,0,0,0,0,0,0,0,0,0,0
13,10,3,0,10,0,0,0,3,0,0,0,0
12,6,6,0,0,0,6,0,0,1,4,1,0
2,0,2,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
34,15,19,6,5,4,0,0,15,0,0,2,2
2,0,2,0,0,0,0,0,0,0,0,0,2
10,5,5,1,0,1,1,2,1,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0
26,16,10,6,0,10,0,0,2,8,0,0,0
17,12,5,7,0,0,3,2,0,0,2,2,1
6,6,0,0,1,3,1,1,0,0,0,0,0
7,4,3,0,0,0,1,3,1,0,2,0,0
6,1,5,0,0,0,0,1,0,2,2,1,0
1,0,1,0,0,0,0,0,0,0,0,0,1
16,5,11,2,0,0,1,2,2,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,5,0,2,0,0,0,2,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
32,18,14,2,0,16,0,0,13,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
34,5,29,0,0,0,4,1,2,2,0,25,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,0,0,0,0,0,1,2,1,1
7,7,0,1,1,0,5,0,0,0,0,0,0
2,0,2,0,0,0,0,0,0,0,0,2,0
27,16,11,11,0,4,1,0,2,1,3,0,5
59,41,18,7,0,0,6,28,4,0,1,12,1
2,0,2,0,0,0,0,0,0,0,0,2,0
12,5,7,3,0,2,0,0,7,0,0,0,0
35,17,18,0,0,0,17,0,7,0,8,0,3
2,2,0,0,0,0,0,2,0,0,0,0,0
8,5,3,1,4,0,0,0,1,1,0,0,1
1,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,3,1,1,0,0,0,0,1,0,2,0
12,7,5,0,0,0,7,0,0,0,1,4,0
11,5,6,0,0,0,0,5,3,0,0,2,1
12,2,10,0,0,0,0,2,4,0,0,5,1
9,7,2,1,0,1,0,5,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0
15,3,12,0,1,0,1,1,2,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,1,1,3,2,0,0,1,0,0,0,0
7,5,2,0,1,2,1,1,1,0,0,1,0
6,3,3,0,1,1,1,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0
27,19,8,19,0,0,0,0,3,1,2,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,6,0,3,0,0,0,0,6,0,0,0
3,2,1,0,0,2,0,0,0,1,0,0,0
15,8,7,0,3,1,0,4,4,1,0,1,1
25,7,18,1,0,6,0,0,5,0,11,1,1
10,3,7,0,1,2,0,0,0,1,0,2,4
9,5,4,0,0,0,3,2,1,0,3,0,0
2,1,1,0,1,0,0,0,0,0,0,1,0
4,1,3,0,0,0,0,1,0,0,1,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0
31,16,15,0,4,12,0,0,8,0,0,1,6
1,0,1,0,0,0,0,0,0,1,0,0,0
2,1,1,1,0,0,0,0,0,0,0,0,1
16,9,7,3,0,5,1,0,0,0,0,2,5
1,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
12,8,4,0,0,0,1,7,0,0,0,3,1
2,0,2,0,0,0,0,0,0,0,2,0,0
32,18,14,0,0,0,14,4,0,0,0,8,6
2,2,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
63,8,55,0,1,4,1,2,0,1,0,3,51
0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,2,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1,0,0,0,1,2,0,1,0,0,0
21,16,5,9,6,0,1,0,0,3,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,7,0,0,0,4,4,4,1,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,0,0,0,0,0,0,0,0,2
3,1,2,0,0,0,0,1,0,0,0,2,0
17,9,8,8,0,0,0,1,4,3,0,0,1
5,2,3,1,0,1,0,0,0,0,0,0,3
1,0,1,0,0,0,0,0,0,0,1,0,0
6,4,2,0,3,0,0,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,0,2,0
8,5,3,0,1,4,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,3,0,0,0,0,0,0,0,0
18,4,14,0,0,1,2,1,0,0,0,1,13
18,5,13,0,0,2,3,0,0,2,0,3,8
2,0,2,0,0,0,0,0,0,0,0,0,2
75,66,9,7,10,6,36,7,1,1,0,6,1
8,2,6,0,0,0,1,1,6,0,0,0,0
5,0,5,0,0,0,0,0,1,0,0,0,4
5,1,4,1,0,0,0,0,0,0,3,1,0
9,6,3,4,1,1,0,0,1,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
22,13,9,0,5,1,1,6,5,4,0,0,0
4,0,4,0,0,0,0,0,3,0,0,1,0
2,2,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
25,22,3,3,14,0,2,3,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
30,16,14,0,0,0,16,0,6,2,2,0,4
1,1,0,0,0,0,0,1,0,0,0,0,0
13,6,7,3,0,0,2,1,1,4,0,2,0
1,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1,3,0,0,0,0,0,0,1,0,0
4,3,1,0,0,0,0,3,1,0,0,0,0
8,3,5,0,0,3,0,0,0,0,2,3,0
64,35,29,6,2,27,0,0,0,1,16,0,12
7,3,4,0,0,0,0,3,1,1,0,2,0
6,4,2,0,0,0,0,4,0,1,1,0,0
6,2,4,0,2,0,0,0,0,2,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
21,9,12,6,0,2,0,1,7,2,0,3,0
1,0,1,0,0,0,0,0,0,0,0,0,1
13,4,9,0,2,0,1,1,0,0,0,0,9
2,0,2,0,0,0,0,0,2,0,0,0,0
3,2,1,1,0,1,0,0,1,0,0,0,0
2,0,2,0,0,0,0,0,0,0,0,0,2
1,1,0,0,0,0,1,0,0,0,0,0,0
3,2,1,1,0,0,0,1,1,0,0,0,0
26,10,16,1,6,1,1,1,4,1,7,4,0
