game_time,game_mode,lobby_type,game_phase
693,All Draft,Public matchmaking,early_game
339,All Draft,Ranked,early_game
1019,All Draft,Ranked,mid_game
1207,All Draft,Ranked,mid_game
1018,All Draft,Ranked,mid_game
685,All Draft,Ranked,early_game
280,All Draft,Public matchmaking,early_game
1526,All Draft,Ranked,mid_game
443,All Draft,Ranked,early_game
936,All Draft,Public matchmaking,mid_game
132,Random Draft,Ranked,early_game
751,All Draft,Ranked,early_game
1049,All Draft,Ranked,mid_game
1721,All Draft,Public matchmaking,late_game
2232,All Draft,Ranked,late_game
1756,All Draft,Ranked,late_game
387,All Draft,Ranked,early_game
1336,All Draft,Ranked,mid_game
20,All Draft,Ranked,early_game
471,All Draft,Ranked,early_game
416,All Draft,Ranked,early_game
2346,Single Draft,Public matchmaking,late_game
1444,All Draft,Public matchmaking,mid_game
654,All Draft,Ranked,early_game
2100,All Draft,Ranked,late_game
2065,All Draft,Public matchmaking,late_game
1844,All Draft,Ranked,late_game
267,Turbo Mode,Public matchmaking,early_game
727,All Draft,Ranked,early_game
1423,All Draft,Ranked,mid_game
1686,All Draft,Ranked,late_game
1504,All Draft,Ranked,mid_game
628,Turbo Mode,Public matchmaking,early_game
1645,Single Draft,Public matchmaking,late_game
1000,All Draft,Ranked,mid_game
183,All Draft,Ranked,early_game
2474,All Draft,Ranked,late_game
1734,All Draft,Ranked,late_game
1185,All Draft,Ranked,mid_game
617,All Draft,Ranked,early_game
2043,All Draft,Public matchmaking,late_game
259,Turbo Mode,Public matchmaking,early_game
1674,All Draft,Ranked,late_game
73,Random Draft,Public matchmaking,early_game
2166,All Draft,Ranked,late_game
1747,All Draft,Public matchmaking,late_game
893,All Draft,Ranked,mid_game
647,All Draft,Public matchmaking,early_game
1825,All Draft,Ranked,late_game
1014,All Draft,Public matchmaking,mid_game
2087,All Draft,Ranked,late_game
2463,All Draft,Ranked,late_game
101,All Draft,Ranked,early_game
2035,All Draft,Public matchmaking,late_game
889,All Draft,Public matchmaking,mid_game
1349,All Draft,Ranked,mid_game
370,All Draft,Ranked,early_game
3281,All Draft,Ranked,late_game
84,All Draft,Ranked,early_game
1631,All Draft,Public matchmaking,late_game
951,Single Draft,Public matchmaking,mid_game
144,All Draft,Ranked,early_game
1966,All Draft,Ranked,late_game
2172,All Draft,Ranked,late_game
1222,All Draft,Ranked,mid_game
529,All Draft,Ranked,early_game
992,All Draft,Ranked,mid_game
1736,All Draft,Public matchmaking,late_game
97,All Draft,Ranked,early_game
386,Turbo Mode,Public matchmaking,early_game
218,All Draft,Ranked,early_game
64,All Draft,Ranked,early_game
1953,All Draft,Ranked,late_game
2,All Draft,Ranked,early_game
2136,All Draft,Ranked,late_game
46,All Draft,Ranked,early_game
247,All Draft,Public matchmaking,early_game
143,All Draft,Ranked,early_game
2582,All Draft,Ranked,late_game
1308,All Draft,Ranked,mid_game
564,All Draft,Ranked,early_game
1482,All Draft,Ranked,mid_game
2370,Random Draft,Ranked,late_game
1927,All Draft,Ranked,late_game
1166,Single Draft,Public matchmaking,mid_game
1401,All Draft,Ranked,mid_game
1046,All Draft,Ranked,mid_game
1204,All Draft,Ranked,mid_game
282,All Draft,Ranked,early_game
2096,Random Draft,Ranked,late_game
291,Random Draft,Ranked,early_game
1812,All Draft,Public matchmaking,late_game
13,All Draft,Ranked,early_game
1204,All Draft,Ranked,mid_game
2131,All Draft,Public matchmaking,late_game
1026,All Draft,Ranked,mid_game
1603,All Draft,Ranked,late_game
2811,All Draft,Ranked,late_game
866,Turbo Mode,Public matchmaking,mid_game
469,Single Draft,Public matchmaking,early_game
1614,All Draft,Ranked,late_game
632,All Draft,Ranked,early_game
1298,All Draft,Ranked,mid_game
1206,All Draft,Ranked,mid_game
42,All Draft,Public matchmaking,early_game
1196,Random Draft,Ranked,mid_game
1806,All Draft,Ranked,late_game
382,Turbo Mode,Public matchmaking,early_game
1321,All Draft,Public matchmaking,mid_game
2090,All Draft,Ranked,late_game
2283,All Draft,Ranked,late_game
738,All Draft,Ranked,early_game
997,All Draft,Ranked,mid_game
2606,All Draft,Ranked,late_game
1590,All Draft,Ranked,late_game
1494,All Draft,Public matchmaking,mid_game
1414,All Draft,Public matchmaking,mid_game
351,All Draft,Public matchmaking,early_game
2911,All Draft,Public matchmaking,late_game
1720,All Draft,Public matchmaking,late_game
413,Turbo Mode,Public matchmaking,early_game
676,Random Draft,Ranked,early_game
2118,All Draft,Ranked,late_game
871,All Draft,Public matchmaking,mid_game
1590,All Draft,Ranked,late_game
1405,Single Draft,Public matchmaking,mid_game
1724,All Draft,Ranked,late_game
229,All Draft,Ranked,early_game
2934,All Draft,Ranked,late_game
829,All Draft,Public matchmaking,mid_game
453,Captains Mode,Ranked,early_game
1315,All Draft,Ranked,mid_game
940,All Draft,Public matchmaking,mid_game
65,All Draft,Ranked,early_game
197,Random Draft,Ranked,early_game
2188,All Draft,Ranked,late_game
909,All Draft,Ranked,mid_game
140,All Draft,Ranked,early_game
782,All Draft,Ranked,mid_game
2505,All Draft,Ranked,late_game
496,All Draft,Ranked,early_game
211,All Draft,Ranked,early_game
439,All Draft,Ranked,early_game
1992,All Draft,Ranked,late_game
185,All Draft,Ranked,early_game
1151,All Draft,Ranked,mid_game
1606,All Draft,Ranked,late_game
1250,All Draft,Public matchmaking,mid_game
318,All Draft,Ranked,early_game
999,All Draft,Ranked,mid_game
632,All Draft,Ranked,early_game
1857,Single Draft,Public matchmaking,late_game
2409,All Draft,Public matchmaking,late_game
2982,All Draft,Ranked,late_game
1359,Random Draft,Ranked,mid_game
1766,All Draft,Ranked,late_game
1364,All Draft,Ranked,mid_game
1427,All Draft,Ranked,mid_game
1233,Single Draft,Public matchmaking,mid_game
757,All Draft,Ranked,early_game
1736,All Draft,Ranked,late_game
700,All Draft,Ranked,early_game
1514,All Draft,Ranked,mid_game
1477,All Draft,Ranked,mid_game
1193,All Draft,Ranked,mid_game
947,All Draft,Ranked,mid_game
286,All Draft,Ranked,early_game
1346,All Draft,Ranked,mid_game
1213,All Draft,Ranked,mid_game
1268,All Draft,Ranked,mid_game
1390,Turbo Mode,Public matchmaking,mid_game
2504,All Draft,Ranked,late_game
2848,All Draft,Ranked,late_game
1860,All Draft,Ranked,late_game
1630,All Draft,Ranked,late_game
147,Random Draft,Public matchmaking,early_game
2054,Random Draft,Public matchmaking,late_game
2008,All Draft,Public matchmaking,late_game
1,All Draft,Ranked,early_game
1077,All Draft,Ranked,mid_game
2545,All Draft,Ranked,late_game
2410,All Draft,Ranked,late_game
508,All Draft,Ranked,early_game
266,All Draft,Ranked,early_game
135,All Draft,Public matchmaking,early_game
558,All Draft,Ranked,early_game
1031,All Draft,Ranked,mid_game
1298,All Draft,Ranked,mid_game
2166,All Draft,Ranked,late_game
1190,All Draft,Ranked,mid_game
1846,All Draft,Public matchmaking,late_game
776,All Draft,Ranked,early_game
661,All Draft,Ranked,early_game
1917,All Draft,Ranked,late_game
325,Turbo Mode,Public matchmaking,early_game
319,All Draft,Public matchmaking,early_game
155,All Draft,Ranked,early_game
1360,All Draft,Ranked,mid_game
154,All Draft,Ranked,early_game
439,All Draft,Ranked,early_game
569,All Draft,Ranked,early_game
786,Random Draft,Public matchmaking,mid_game
1824,All Draft,Ranked,late_game
941,All Draft,Public matchmaking,mid_game
790,All Draft,Ranked,mid_game
736,Turbo Mode,Public matchmaking,early_game
1986,All Draft,Public matchmaking,late_game
2019,All Draft,Ranked,late_game
542,All Draft,Ranked,early_game
1498,All Draft,Ranked,mid_game
1425,All Draft,Ranked,mid_game
1664,All Draft,Ranked,late_game
2163,All Draft,Public matchmaking,late_game
1991,All Draft,Ranked,late_game
1062,All Draft,Ranked,mid_game
214,All Draft,Ranked,early_game
1053,All Draft,Public matchmaking,mid_game
62,All Draft,Ranked,early_game
1724,All Draft,Public matchmaking,late_game
1966,All Draft,Ranked,late_game
855,All Draft,Ranked,mid_game
1597,All Draft,Public matchmaking,late_game
2715,All Draft,Ranked,late_game
1334,All Draft,Ranked,mid_game
164,All Draft,Ranked,early_game
184,Turbo Mode,Public matchmaking,early_game
1453,All Draft,Ranked,mid_game
1110,All Draft,Ranked,mid_game
2146,All Draft,Ranked,late_game
2239,All Draft,Ranked,late_game
422,All Draft,Ranked,early_game
1466,All Draft,Public matchmaking,mid_game
1348,All Draft,Ranked,mid_game
3120,Random Draft,Public matchmaking,late_game
465,All Draft,Ranked,early_game
157,All Draft,Ranked,early_game
16,All Draft,Ranked,early_game
2038,All Draft,Ranked,late_game
1097,Turbo Mode,Public matchmaking,mid_game
19,Turbo Mode,Public matchmaking,early_game
1251,All Draft,Public matchmaking,mid_game
919,All Draft,Public matchmaking,mid_game
1011,All Draft,Ranked,mid_game
935,All Draft,Ranked,mid_game
1097,Turbo Mode,Public matchmaking,mid_game
290,All Draft,Ranked,early_game
1168,All Draft,Ranked,mid_game
1387,All Draft,Ranked,mid_game
1503,All Draft,Ranked,mid_game
237,All Draft,Public matchmaking,early_game
450,All Draft,Ranked,early_game
85,All Draft,Public matchmaking,early_game
879,All Draft,Ranked,mid_game
768,All Draft,Public matchmaking,early_game
45,All Draft,Ranked,early_game
567,All Draft,Ranked,early_game
162,All Draft,Ranked,early_game
1485,All Draft,Ranked,mid_game
2181,Random Draft,Ranked,late_game
1316,Turbo Mode,Public matchmaking,mid_game
360,All Draft,Ranked,early_game
1289,All Draft,Public matchmaking,mid_game
239,All Draft,Ranked,early_game
1232,All Draft,Public matchmaking,mid_game
2256,All Draft,Public matchmaking,late_game
546,Single Draft,Public matchmaking,early_game
2691,All Draft,Ranked,late_game
1319,All Draft,Public matchmaking,mid_game
942,All Draft,Ranked,mid_game
957,All Draft,Ranked,mid_game
685,All Draft,Ranked,early_game
698,All Draft,Ranked,early_game
1534,All Draft,Ranked,mid_game
1946,All Draft,Ranked,late_game
454,All Draft,Ranked,early_game
2055,All Draft,Ranked,late_game
2058,All Draft,Public matchmaking,late_game
397,All Draft,Ranked,early_game
730,Single Draft,Public matchmaking,early_game
3008,All Draft,Ranked,late_game
61,Single Draft,Public matchmaking,early_game
2,Turbo Mode,Public matchmaking,early_game
2338,All Draft,Ranked,late_game
45,All Draft,Ranked,early_game
2068,All Draft,Ranked,late_game
24,Turbo Mode,Public matchmaking,early_game
1072,All Draft,Ranked,mid_game
491,Single Draft,Public matchmaking,early_game
1754,All Draft,Ranked,late_game
11,All Draft,Public matchmaking,early_game
1526,All Draft,Public matchmaking,mid_game
998,All Draft,Ranked,mid_game
1746,All Draft,Ranked,late_game
1001,All Draft,Ranked,mid_game
635,All Draft,Ranked,early_game
742,All Draft,Ranked,early_game
610,Turbo Mode,Public matchmaking,early_game
1082,All Draft,Ranked,mid_game
1485,All Draft,Ranked,mid_game
1056,All Draft,Ranked,mid_game
1589,All Draft,Ranked,late_game
687,All Draft,Public matchmaking,early_game
1076,Turbo Mode,Public matchmaking,mid_game
418,All Draft,Ranked,early_game
1855,Single Draft,Public matchmaking,late_game
541,All Draft,Public matchmaking,early_game
609,All Draft,Ranked,early_game
2783,All Draft,Ranked,late_game
422,All Draft,Ranked,early_game
573,Single Draft,Public matchmaking,early_game
1745,All Draft,Public matchmaking,late_game
1886,All Draft,Ranked,late_game
2390,All Draft,Ranked,late_game
429,All Draft,Ranked,early_game
1417,All Draft,Ranked,mid_game
1334,All Draft,Public matchmaking,mid_game
2195,All Draft,Ranked,late_game
507,All Draft,Ranked,early_game
1470,All Draft,Public matchmaking,mid_game
1829,Random Draft,Ranked,late_game
454,Single Draft,Public matchmaking,early_game
1106,All Draft,Ranked,mid_game
136,All Draft,Public matchmaking,early_game
832,All Draft,Public matchmaking,mid_game
1496,Single Draft,Public matchmaking,mid_game
393,All Draft,Ranked,early_game
1178,All Draft,Public matchmaking,mid_game
2133,All Draft,Public matchmaking,late_game
848,All Draft,Ranked,mid_game
625,Single Draft,Public matchmaking,early_game
2415,All Draft,Ranked,late_game
160,All Draft,Ranked,early_game
2954,All Draft,Ranked,late_game
1677,All Draft,Public matchmaking,late_game
174,All Draft,Ranked,early_game
153,Turbo Mode,Public matchmaking,early_game
808,All Draft,Ranked,mid_game
1332,All Draft,Ranked,mid_game
27,All Draft,Ranked,early_game
92,All Draft,Ranked,early_game
1549,All Draft,Ranked,mid_game
1512,All Draft,Ranked,mid_game
1418,All Draft,Ranked,mid_game
2580,All Draft,Public matchmaking,late_game
543,All Draft,Public matchmaking,early_game
534,All Draft,Ranked,early_game
2711,All Draft,Ranked,late_game
2163,All Draft,Ranked,late_game
400,All Draft,Ranked,early_game
667,All Draft,Ranked,early_game
1755,All Draft,Public matchmaking,late_game
1144,Turbo Mode,Public matchmaking,mid_game
1717,All Draft,Public matchmaking,late_game
1969,All Draft,Ranked,late_game
1279,All Draft,Ranked,mid_game
526,Random Draft,Public matchmaking,early_game
1549,All Draft,Ranked,mid_game
679,All Draft,Public matchmaking,early_game
1134,All Draft,Ranked,mid_game
337,All Draft,Ranked,early_game
3238,All Draft,Ranked,late_game
2049,All Draft,Ranked,late_game
1010,All Draft,Ranked,mid_game
2181,All Draft,Public matchmaking,late_game
1106,All Draft,Public matchmaking,mid_game
258,All Draft,Ranked,early_game
1840,All Draft,Ranked,late_game
792,All Draft,Ranked,mid_game
2260,Random Draft,Public matchmaking,late_game
2149,Single Draft,Public matchmaking,late_game
825,All Draft,Public matchmaking,mid_game
356,All Draft,Ranked,early_game
1263,All Draft,Ranked,mid_game
1032,All Draft,Public matchmaking,mid_game
1694,All Draft,Ranked,late_game
256,All Draft,Public matchmaking,early_game
1526,All Draft,Ranked,mid_game
1469,All Draft,Ranked,mid_game
410,All Draft,Ranked,early_game
2869,All Draft,Ranked,late_game
1659,All Draft,Public matchmaking,late_game
458,All Draft,Ranked,early_game
8,All Draft,Ranked,early_game
194,Turbo Mode,Public matchmaking,early_game
2303,Single Draft,Public matchmaking,late_game
1413,All Draft,Public matchmaking,mid_game
1819,All Draft,Ranked,late_game
421,Turbo Mode,Public matchmaking,early_game
1310,All Draft,Ranked,mid_game
2828,All Draft,Public matchmaking,late_game
385,All Draft,Public matchmaking,early_game
2129,All Draft,Ranked,late_game
672,All Draft,Ranked,early_game
218,Turbo Mode,Public matchmaking,early_game
1861,All Draft,Ranked,late_game
256,Turbo Mode,Public matchmaking,early_game
337,All Draft,Ranked,early_game
1007,All Draft,Ranked,mid_game
1870,Random Draft,Ranked,late_game
2503,All Draft,Public matchmaking,late_game
1993,All Draft,Ranked,late_game
1159,All Draft,Ranked,mid_game
375,All Draft,Ranked,early_game
572,All Draft,Ranked,early_game
113,All Draft,Ranked,early_game
1885,All Draft,Ranked,late_game
2505,All Draft,Public matchmaking,late_game
1588,All Draft,Ranked,late_game
3129,All Draft,Ranked,late_game
1448,All Draft,Ranked,mid_game
58,All Draft,Public matchmaking,early_game
404,Single Draft,Public matchmaking,early_game
1662,All Draft,Ranked,late_game
368,All Draft,Ranked,early_game
1269,All Draft,Ranked,mid_game
1226,All Draft,Ranked,mid_game
1586,All Draft,Ranked,late_game
18,All Draft,Ranked,early_game
585,Single Draft,Public matchmaking,early_game
800,All Draft,Ranked,mid_game
791,Single Draft,Public matchmaking,mid_game
2226,All Draft,Ranked,late_game
1009,All Draft,Ranked,mid_game
1309,All Draft,Ranked,mid_game
2098,All Draft,Ranked,late_game
2074,All Draft,Ranked,late_game
883,All Draft,Ranked,mid_game
434,All Draft,Ranked,early_game
528,All Draft,Ranked,early_game
1417,All Draft,Ranked,mid_game
325,All Draft,Ranked,early_game
334,All Draft,Ranked,early_game
945,All Draft,Ranked,mid_game
650,All Draft,Ranked,early_game
289,All Draft,Ranked,early_game
2285,All Draft,Ranked,late_game
1254,All Draft,Public matchmaking,mid_game
1581,All Draft,Ranked,late_game
149,All Draft,Ranked,early_game
1601,All Draft,Ranked,late_game
2690,All Draft,Ranked,late_game
10,All Draft,Ranked,early_game
1689,All Draft,Ranked,late_game
1807,All Draft,Public matchmaking,late_game
1129,All Draft,Ranked,mid_game
179,All Draft,Public matchmaking,early_game
2273,All Draft,Ranked,late_game
577,All Draft,Ranked,early_game
1017,All Draft,Ranked,mid_game
587,All Draft,Ranked,early_game
1443,All Draft,Ranked,mid_game
67,All Draft,Ranked,early_game
2170,All Draft,Ranked,late_game
933,All Draft,Ranked,mid_game
352,All Draft,Ranked,early_game
2092,All Draft,Ranked,late_game
874,All Draft,Public matchmaking,mid_game
1453,All Draft,Ranked,mid_game
1461,All Draft,Ranked,mid_game
1,All Draft,Ranked,early_game
861,All Draft,Ranked,mid_game
1279,All Draft,Public matchmaking,mid_game
2598,All Draft,Ranked,late_game
2195,All Draft,Ranked,late_game
109,Single Draft,Public matchmaking,early_game
1818,All Draft,Ranked,late_game
876,All Draft,Ranked,mid_game
465,All Draft,Ranked,early_game
84,All Draft,Ranked,early_game
203,All Draft,Ranked,early_game
1904,All Draft,Ranked,late_game
2069,All Draft,Ranked,late_game
939,All Draft,Ranked,mid_game
911,All Draft,Ranked,mid_game
1964,All Draft,Ranked,late_game
183,All Draft,Ranked,early_game
1023,All Draft,Public matchmaking,mid_game
555,All Draft,Ranked,early_game
645,Turbo Mode,Public matchmaking,early_game
2830,All Draft,Ranked,late_game
3147,All Draft,Public matchmaking,late_game
276,All Draft,Ranked,early_game
2656,All Draft,Ranked,late_game
2100,Random Draft,Ranked,late_game
1467,All Draft,Ranked,mid_game
503,Turbo Mode,Public matchmaking,early_game
1941,All Draft,Ranked,late_game
1672,All Draft,Public matchmaking,late_game
503,All Draft,Ranked,early_game
1465,All Draft,Ranked,mid_game
1594,Turbo Mode,Public matchmaking,late_game
404,All Draft,Ranked,early_game
428,All Draft,Ranked,early_game
1588,All Draft,Public matchmaking,late_game
3,All Draft,Ranked,early_game
621,Turbo Mode,Public matchmaking,early_game
3883,All Draft,Ranked,late_game
1011,All Draft,Ranked,mid_game
335,All Draft,Ranked,early_game
281,All Draft,Ranked,early_game
934,All Draft,Ranked,mid_game
466,Random Draft,Ranked,early_game
1058,All Draft,Public matchmaking,mid_game
805,All Draft,Ranked,mid_game
1321,All Draft,Ranked,mid_game
490,All Draft,Ranked,early_game
762,All Draft,Ranked,early_game
140,All Draft,Public matchmaking,early_game
2207,All Draft,Public matchmaking,late_game
2444,All Draft,Public matchmaking,late_game
876,Turbo Mode,Public matchmaking,mid_game
2284,All Draft,Ranked,late_game
732,All Draft,Ranked,early_game
1738,All Draft,Ranked,late_game
365,All Draft,Ranked,early_game
1609,All Draft,Ranked,late_game
1284,Single Draft,Public matchmaking,mid_game
548,All Draft,Ranked,early_game
2724,Single Draft,Public matchmaking,late_game
836,All Draft,Ranked,mid_game
547,All Draft,Ranked,early_game
1561,All Draft,Ranked,late_game
1683,All Draft,Public matchmaking,late_game
1995,All Draft,Ranked,late_game
1535,All Draft,Ranked,mid_game
1102,All Draft,Ranked,mid_game
2695,All Draft,Public matchmaking,late_game
343,Single Draft,Public matchmaking,early_game
1485,All Draft,Ranked,mid_game
1098,All Draft,Ranked,mid_game
445,All Draft,Ranked,early_game
1197,All Draft,Ranked,mid_game
1043,Single Draft,Public matchmaking,mid_game
2018,All Draft,Ranked,late_game
966,All Draft,Ranked,mid_game
1607,All Draft,Ranked,late_game
426,Turbo Mode,Public matchmaking,early_game
363,All Draft,Ranked,early_game
935,All Draft,Ranked,mid_game
61,All Draft,Ranked,early_game
852,All Draft,Ranked,mid_game
1442,All Draft,Ranked,mid_game
1277,Random Draft,Public matchmaking,mid_game
315,All Draft,Ranked,early_game
459,All Draft,Ranked,early_game
1147,All Draft,Ranked,mid_game
814,All Draft,Ranked,mid_game
2783,Single Draft,Public matchmaking,late_game
1785,All Draft,Ranked,late_game
516,All Draft,Ranked,early_game
590,All Draft,Ranked,early_game
415,Single Draft,Public matchmaking,early_game
99,Captains Mode,Ranked,early_game
1095,All Draft,Ranked,mid_game
1159,All Draft,Ranked,mid_game
2065,All Draft,Ranked,late_game
842,Random Draft,Public matchmaking,mid_game
3704,All Draft,Ranked,late_game
717,Single Draft,Public matchmaking,early_game
1994,All Draft,Ranked,late_game
1092,All Draft,Ranked,mid_game
1064,All Draft,Ranked,mid_game
1866,All Draft,Ranked,late_game
830,All Draft,Ranked,mid_game
575,All Draft,Ranked,early_game
1896,All Draft,Ranked,late_game
1306,All Draft,Ranked,mid_game
2346,All Draft,Ranked,late_game
2217,All Draft,Ranked,late_game
962,Random Draft,Ranked,mid_game
373,All Draft,Public matchmaking,early_game
1688,All Draft,Ranked,late_game
245,All Draft,Ranked,early_game
464,All Draft,Ranked,early_game
588,All Draft,Ranked,early_game
98,All Draft,Ranked,early_game
605,All Draft,Public matchmaking,early_game
1498,All Draft,Ranked,mid_game
1524,All Draft,Ranked,mid_game
975,All Draft,Ranked,mid_game
1167,Single Draft,Public matchmaking,mid_game
2126,All Draft,Ranked,late_game
2740,All Draft,Public matchmaking,late_game
2002,All Draft,Ranked,late_game
2069,Single Draft,Public matchmaking,late_game
1526,All Draft,Ranked,mid_game
1222,All Draft,Ranked,mid_game
585,All Draft,Ranked,early_game
19,All Draft,Ranked,early_game
3212,All Draft,Ranked,late_game
1481,All Draft,Ranked,mid_game
2698,All Draft,Ranked,late_game
1695,Single Draft,Public matchmaking,late_game
2328,All Draft,Ranked,late_game
1751,All Draft,Public matchmaking,late_game
2665,All Draft,Ranked,late_game
2955,All Draft,Public matchmaking,late_game
545,All Draft,Ranked,early_game
992,All Draft,Ranked,mid_game
1228,Random Draft,Ranked,mid_game
492,All Draft,Public matchmaking,early_game
2293,All Draft,Public matchmaking,late_game
477,All Draft,Ranked,early_game
324,Turbo Mode,Public matchmaking,early_game
1780,Turbo Mode,Public matchmaking,late_game
1239,All Draft,Public matchmaking,mid_game
1933,All Draft,Ranked,late_game
574,All Draft,Ranked,early_game
1829,All Draft,Public matchmaking,late_game
422,All Draft,Ranked,early_game
1402,All Draft,Public matchmaking,mid_game
2010,All Draft,Ranked,late_game
436,All Draft,Ranked,early_game
1383,All Draft,Ranked,mid_game
993,All Draft,Ranked,mid_game
206,All Draft,Public matchmaking,early_game
2559,All Draft,Ranked,late_game
728,All Draft,Ranked,early_game
1205,All Draft,Ranked,mid_game
166,All Draft,Public matchmaking,early_game
2584,All Draft,Ranked,late_game
1021,Turbo Mode,Public matchmaking,mid_game
3451,All Draft,Public matchmaking,late_game
319,All Draft,Public matchmaking,early_game
1413,All Draft,Ranked,mid_game
1633,All Draft,Ranked,late_game
842,All Draft,Ranked,mid_game
1716,All Draft,Ranked,late_game
